,Car Name,Car Price,Car Type,Dealer_Name,Dealer_Link
64,2018 Nissan Navara RX D23 Series 3 Manual 4x2,"24,990*",used,Hobart Nissan,/dealer-services/hobart-nissan/AGC-SELLER-58794
65,2015 Land Rover Discovery TDV6 Auto 4x4 MY15,"52,990*",used,Jackson Motor Company - Devonport,/dealer-services/jackson-motor-company-devonport/AGC-SELLER-14641
66,2015 Hyundai i30 Auto MY16,"20,990*",used,Jackson Motor Company - Devonport,/dealer-services/jackson-motor-company-devonport/AGC-SELLER-14641
67,2015 Land Rover Defender Manual 4x4 MY15,"74,990*",used,Jackson Motor Company - Devonport,/dealer-services/jackson-motor-company-devonport/AGC-SELLER-14641
68,2016 Hyundai iLoad Auto MY16,"31,990*",used,Jackson Motor Company - Devonport,/dealer-services/jackson-motor-company-devonport/AGC-SELLER-14641
69,2018 Nissan X-TRAIL ST T32 Series II Auto 2WD,"25,990*",used,Jackson Motor Company - Devonport,/dealer-services/jackson-motor-company-devonport/AGC-SELLER-14641
70,2016 Mitsubishi Lancer ES Sport CF Auto MY16,"15,990*",used,Wayne's Car Sales,/dealer-services/waynes-car-sales/AGC-SELLER-59186
71,2004 Ford Fairmont BA Auto,"5,990*",used,Wayne's Car Sales,/dealer-services/waynes-car-sales/AGC-SELLER-59186
72,2012 Holden Colorado LTZ RG Auto 4x2 MY13,"26,990*",used,Wayne's Car Sales,/dealer-services/waynes-car-sales/AGC-SELLER-59186
73,2009 Mazda CX-7 Luxury Sports ER Series 2 Auto 4WD,"12,990*",used,Wayne's Car Sales,/dealer-services/waynes-car-sales/AGC-SELLER-59186
74,2012 Kia Optima Platinum Auto MY12,"11,990*",used,Wayne's Car Sales,/dealer-services/waynes-car-sales/AGC-SELLER-59186
75,2012 Ford Ranger XLT PX Auto 4x4 Double Cab,"31,990*",used,Buckby Motors - BIG YARD at Margaret Street,/dealer-services/buckby-motors-big-yard-at-margaret-street/AGC-SELLER-2128
76,2013 Holden Ute SS Z Series VE Series II Manual MY12.5,"22,990*",used,Buckby Motors - BIG YARD at Margaret Street,/dealer-services/buckby-motors-big-yard-at-margaret-street/AGC-SELLER-2128
77,2016 Ford Ranger XLT PX MkII Manual 4x4 Super Cab,"36,990*",used,Buckby Motors - BIG YARD at Margaret Street,/dealer-services/buckby-motors-big-yard-at-margaret-street/AGC-SELLER-2128
78,2014 Audi A5 Auto quattro MY15,"26,990*",used,Buckby Motors - BIG YARD at Margaret Street,/dealer-services/buckby-motors-big-yard-at-margaret-street/AGC-SELLER-2128
79,2015 Volvo V40 T5 R-Design Auto MY16,"27,990*",used,Buckby Motors - BIG YARD at Margaret Street,/dealer-services/buckby-motors-big-yard-at-margaret-street/AGC-SELLER-2128
80,2018 Mercedes-Benz AMG GT S Auto,"239,990*",used,Buckby Motors St John Street,/dealer-services/buckby-motors-st-john-street/AGC-SELLER-58246
81,2019 Mercedes-Benz X-Class X250d Power Auto 4MATIC Dual Cab,"54,990*",used,Buckby Motors St John Street,/dealer-services/buckby-motors-st-john-street/AGC-SELLER-58246
82,2019 Mercedes-Benz X-Class X250d Power Manual 4MATIC Dual Cab,"46,990*",used,Buckby Motors St John Street,/dealer-services/buckby-motors-st-john-street/AGC-SELLER-58246
83,2018 Mercedes-Benz X-Class X250d Progressive Auto 4MATIC Dual Cab,"39,990*",used,Buckby Motors St John Street,/dealer-services/buckby-motors-st-john-street/AGC-SELLER-58246
84,2018 Mercedes-Benz C-Class C220 d Auto,"54,990*",used,Buckby Motors St John Street,/dealer-services/buckby-motors-st-john-street/AGC-SELLER-58246
85,NA,NA,NA,Jackson Motor Company - Group,/dealer-services/jackson-motor-company-group/AGC-SELLER-14643
86,NA,NA,NA,Hobart Kia,/dealer-services/hobart-kia/AGC-SELLER-59133
87,2010 Honda Jazz GLi Limited Edition Manual MY10,"8,990*",used,Cheap Cars,/dealer-services/cheap-cars/AGC-SELLER-49795
88,2010 Mazda 3 Neo BL Series 1 Manual,"9,990*",used,Cheap Cars,/dealer-services/cheap-cars/AGC-SELLER-49795
89,2008 Suzuki Grand Vitara JLX Manual 4x4,"9,990*",used,Cheap Cars,/dealer-services/cheap-cars/AGC-SELLER-49795
90,2003 Jaguar X-Type Sport Auto 4WD,"7,990*",used,Cheap Cars,/dealer-services/cheap-cars/AGC-SELLER-49795
91,2006 Ford Courier GL PH (Upgrade) Manual 4x4,"7,990*",used,Cheap Cars,/dealer-services/cheap-cars/AGC-SELLER-49795
92,2012 Honda Civic VTi-S Auto,"13,990*",used,The Car Mart Burnie,/dealer-services/the-car-mart-burnie/AGC-SELLER-28961
93,2011 Suzuki SX4 S Auto MY10,"10,990*",used,The Car Mart Burnie,/dealer-services/the-car-mart-burnie/AGC-SELLER-28961
94,2013 Holden Cruze SRi-V JH Series II Manual MY13,"9,990*",used,The Car Mart Burnie,/dealer-services/the-car-mart-burnie/AGC-SELLER-28961
95,2009 Holden Calais VE Auto MY09.5,"9,777*",used,The Car Mart Burnie,/dealer-services/the-car-mart-burnie/AGC-SELLER-28961
96,2015 Hyundai Accent Active Auto MY16,"9,990*",used,The Car Mart Burnie,/dealer-services/the-car-mart-burnie/AGC-SELLER-28961
97,2014 Mitsubishi ASX LS XB Manual 2WD MY15,"14,990*",used,Motors Glenorchy,/dealer-services/motors-glenorchy/AGC-SELLER-10643
98,2016 Toyota Camry Altise Auto,"24,990*",used,Motors Glenorchy,/dealer-services/motors-glenorchy/AGC-SELLER-10643
99,2011 Ford Fiesta CL WT Auto,"9,990*",used,Motors Glenorchy,/dealer-services/motors-glenorchy/AGC-SELLER-10643
100,2015 Subaru Forester 2.5i-S S4 Auto AWD MY15,"19,990*",used,Motors Glenorchy,/dealer-services/motors-glenorchy/AGC-SELLER-10643
101,2016 Kia Rio S Manual MY16,"10,990*",used,Motors Glenorchy,/dealer-services/motors-glenorchy/AGC-SELLER-10643
102,2019 Hyundai Tucson Elite Auto AWD MY20,*,new,Motors Burnie New Cars,/dealer-services/motors-burnie-new-cars/AGC-SELLER-12854
103,2019 Holden Astra RS BK Auto MY19,*,new,Motors Burnie New Cars,/dealer-services/motors-burnie-new-cars/AGC-SELLER-12854
104,2019 Hyundai i30 Active Auto MY19,*,new,Motors Burnie New Cars,/dealer-services/motors-burnie-new-cars/AGC-SELLER-12854
105,2018 Nissan Navara RX D23 Series 3 Auto 4x4 Dual Cab,"42,990*",new,Motors Burnie New Cars,/dealer-services/motors-burnie-new-cars/AGC-SELLER-12854
106,2019 Holden Acadia LTZ AC Auto 2WD MY19,*,new,Motors Burnie New Cars,/dealer-services/motors-burnie-new-cars/AGC-SELLER-12854
107,2019 Nissan Navara ST-X D23 Series 4 Auto 4x4 Dual Cab,"45,990*",used,Motors Burnie New Cars,/dealer-services/motors-burnie-new-cars/AGC-SELLER-12854
108,2018 Nissan QASHQAI ST-L J11 Series 2 Auto,"29,990*",used,Motors Burnie New Cars,/dealer-services/motors-burnie-new-cars/AGC-SELLER-12854
109,2019 Nissan QASHQAI ST+ J11 Series 2 Auto,"28,490*",used,Motors Burnie New Cars,/dealer-services/motors-burnie-new-cars/AGC-SELLER-12854
110,2019 Holden Colorado LS RG Auto 4x4 MY19,"45,990*",used,Motors Burnie New Cars,/dealer-services/motors-burnie-new-cars/AGC-SELLER-12854
111,2019 Nissan Navara ST D23 Series 4 Auto 4x4 Dual Cab,"42,990*",used,Motors Burnie New Cars,/dealer-services/motors-burnie-new-cars/AGC-SELLER-12854
112,NA,NA,NA,Hobart BMW New Cars,/dealer-services/hobart-bmw-new-cars/AGC-SELLER-58768
113,NA,NA,NA,Pickles - Hobart,/dealer-services/pickles-hobart/AGC-SELLER-50945
114,NA,NA,NA,Performance Automobiles Group,/dealer-services/performance-automobiles-group/AGC-SELLER-14624
115,2016 Subaru Levorg 2.0 GT-S V1 Auto AWD MY17,"33,990*",used,Jackson Motor Company - Hobart,/dealer-services/jackson-motor-company-hobart/AGC-SELLER-18075
116,2013 Nissan Pathfinder Ti R52 Auto 4WD MY14,"27,990*",used,Jackson Motor Company - Hobart,/dealer-services/jackson-motor-company-hobart/AGC-SELLER-18075
117,2011 Volkswagen Amarok TDI400 Trendline 2H Manual 4MOT MY12 Dual Cab,"22,990*",used,Jackson Motor Company - Hobart,/dealer-services/jackson-motor-company-hobart/AGC-SELLER-18075
118,2018 Hyundai Kona Go Auto 2WD MY19,"21,990*",used,Jackson Motor Company - Hobart,/dealer-services/jackson-motor-company-hobart/AGC-SELLER-18075
119,2019 Volkswagen Tiguan 110TSI Comfortline 5N Auto 2WD MY19.5,"41,990*",used,Jackson Motor Company - Hobart,/dealer-services/jackson-motor-company-hobart/AGC-SELLER-18075
