,Car Name,Car Price,Car Type,Dealer_Name,Dealer_Link
74,2016 Mitsubishi Lancer ES Sport CF Auto MY16,"15,990*",used,Wayne's Car Sales,/dealer-services/waynes-car-sales/AGC-SELLER-59186
75,2004 Ford Fairmont BA Auto,"5,990*",used,Wayne's Car Sales,/dealer-services/waynes-car-sales/AGC-SELLER-59186
76,2012 Holden Colorado LTZ RG Auto 4x2 MY13,"26,990*",used,Wayne's Car Sales,/dealer-services/waynes-car-sales/AGC-SELLER-59186
77,2009 Mazda CX-7 Luxury Sports ER Series 2 Auto 4WD,"12,990*",used,Wayne's Car Sales,/dealer-services/waynes-car-sales/AGC-SELLER-59186
78,2012 Kia Optima Platinum Auto MY12,"11,990*",used,Wayne's Car Sales,/dealer-services/waynes-car-sales/AGC-SELLER-59186
79,2012 Ford Ranger XLT PX Auto 4x4 Double Cab,"31,990*",used,Buckby Motors - BIG YARD at Margaret Street,/dealer-services/buckby-motors-big-yard-at-margaret-street/AGC-SELLER-2128
80,2013 Holden Ute SS Z Series VE Series II Manual MY12.5,"22,990*",used,Buckby Motors - BIG YARD at Margaret Street,/dealer-services/buckby-motors-big-yard-at-margaret-street/AGC-SELLER-2128
81,2016 Ford Ranger XLT PX MkII Manual 4x4 Super Cab,"36,990*",used,Buckby Motors - BIG YARD at Margaret Street,/dealer-services/buckby-motors-big-yard-at-margaret-street/AGC-SELLER-2128
82,2014 Audi A5 Auto quattro MY15,"26,990*",used,Buckby Motors - BIG YARD at Margaret Street,/dealer-services/buckby-motors-big-yard-at-margaret-street/AGC-SELLER-2128
83,2015 Volvo V40 T5 R-Design Auto MY16,"27,990*",used,Buckby Motors - BIG YARD at Margaret Street,/dealer-services/buckby-motors-big-yard-at-margaret-street/AGC-SELLER-2128
84,2018 Mercedes-Benz AMG GT S Auto,"239,990*",used,Buckby Motors St John Street,/dealer-services/buckby-motors-st-john-street/AGC-SELLER-58246
85,2019 Mercedes-Benz X-Class X250d Power Auto 4MATIC Dual Cab,"54,990*",used,Buckby Motors St John Street,/dealer-services/buckby-motors-st-john-street/AGC-SELLER-58246
86,2019 Mercedes-Benz X-Class X250d Power Manual 4MATIC Dual Cab,"46,990*",used,Buckby Motors St John Street,/dealer-services/buckby-motors-st-john-street/AGC-SELLER-58246
87,2018 Mercedes-Benz X-Class X250d Progressive Auto 4MATIC Dual Cab,"39,990*",used,Buckby Motors St John Street,/dealer-services/buckby-motors-st-john-street/AGC-SELLER-58246
88,2018 Mercedes-Benz C-Class C220 d Auto,"54,990*",used,Buckby Motors St John Street,/dealer-services/buckby-motors-st-john-street/AGC-SELLER-58246
89,NA,NA,NA,Jackson Motor Company - Group,/dealer-services/jackson-motor-company-group/AGC-SELLER-14643
90,NA,NA,NA,Hobart Kia,/dealer-services/hobart-kia/AGC-SELLER-59133
91,2010 Mazda 3 Neo BL Series 1 Manual,"9,990*",used,Cheap Cars,/dealer-services/cheap-cars/AGC-SELLER-49795
92,2008 Suzuki Grand Vitara JLX Manual 4x4,"9,990*",used,Cheap Cars,/dealer-services/cheap-cars/AGC-SELLER-49795
93,2010 Honda Jazz GLi Limited Edition Manual MY10,"8,990*",used,Cheap Cars,/dealer-services/cheap-cars/AGC-SELLER-49795
94,2003 Jaguar X-Type Sport Auto 4WD,"7,990*",used,Cheap Cars,/dealer-services/cheap-cars/AGC-SELLER-49795
95,2005 Mazda 3 SP23 BK Series 1 Manual,"7,990*",used,Cheap Cars,/dealer-services/cheap-cars/AGC-SELLER-49795
96,2012 Honda Civic VTi-S Auto,"13,990*",used,The Car Mart Burnie,/dealer-services/the-car-mart-burnie/AGC-SELLER-28961
97,2011 Suzuki SX4 S Auto MY10,"10,990*",used,The Car Mart Burnie,/dealer-services/the-car-mart-burnie/AGC-SELLER-28961
98,2013 Holden Cruze SRi-V JH Series II Manual MY13,"9,990*",used,The Car Mart Burnie,/dealer-services/the-car-mart-burnie/AGC-SELLER-28961
99,2009 Holden Calais VE Auto MY09.5,"9,777*",used,The Car Mart Burnie,/dealer-services/the-car-mart-burnie/AGC-SELLER-28961
100,2015 Hyundai Accent Active Auto MY16,"9,990*",used,The Car Mart Burnie,/dealer-services/the-car-mart-burnie/AGC-SELLER-28961
101,2014 Mitsubishi ASX LS XB Manual 2WD MY15,"14,990*",used,Motors Glenorchy,/dealer-services/motors-glenorchy/AGC-SELLER-10643
102,2016 Toyota Camry Altise Auto,"24,990*",used,Motors Glenorchy,/dealer-services/motors-glenorchy/AGC-SELLER-10643
103,2011 Ford Fiesta CL WT Auto,"9,990*",used,Motors Glenorchy,/dealer-services/motors-glenorchy/AGC-SELLER-10643
104,2015 Subaru Forester 2.5i-S S4 Auto AWD MY15,"19,990*",used,Motors Glenorchy,/dealer-services/motors-glenorchy/AGC-SELLER-10643
105,2016 Kia Rio S Manual MY16,"10,990*",used,Motors Glenorchy,/dealer-services/motors-glenorchy/AGC-SELLER-10643
106,2019 Hyundai Tucson Elite Auto AWD MY20,*,new,Motors Burnie New Cars,/dealer-services/motors-burnie-new-cars/AGC-SELLER-12854
107,2019 Holden Astra RS BK Auto MY19,*,new,Motors Burnie New Cars,/dealer-services/motors-burnie-new-cars/AGC-SELLER-12854
108,2019 Hyundai i30 Active Auto MY19,*,new,Motors Burnie New Cars,/dealer-services/motors-burnie-new-cars/AGC-SELLER-12854
109,2018 Nissan Navara RX D23 Series 3 Auto 4x4 Dual Cab,"42,990*",new,Motors Burnie New Cars,/dealer-services/motors-burnie-new-cars/AGC-SELLER-12854
110,2019 Holden Acadia LTZ AC Auto 2WD MY19,*,new,Motors Burnie New Cars,/dealer-services/motors-burnie-new-cars/AGC-SELLER-12854
111,2019 Nissan Navara ST D23 Series 4 Auto 4x4 Dual Cab,"42,990*",used,Motors Burnie New Cars,/dealer-services/motors-burnie-new-cars/AGC-SELLER-12854
112,2019 Nissan Navara ST-X D23 Series 4 Auto 4x4 Dual Cab,"45,990*",used,Motors Burnie New Cars,/dealer-services/motors-burnie-new-cars/AGC-SELLER-12854
113,2018 Nissan QASHQAI ST-L J11 Series 2 Auto,"29,990*",used,Motors Burnie New Cars,/dealer-services/motors-burnie-new-cars/AGC-SELLER-12854
114,2019 Nissan QASHQAI ST+ J11 Series 2 Auto,"28,490*",used,Motors Burnie New Cars,/dealer-services/motors-burnie-new-cars/AGC-SELLER-12854
115,2019 Holden Colorado LS RG Auto 4x4 MY19,"45,990*",used,Motors Burnie New Cars,/dealer-services/motors-burnie-new-cars/AGC-SELLER-12854
116,NA,NA,NA,Hobart BMW New Cars,/dealer-services/hobart-bmw-new-cars/AGC-SELLER-58768
117,NA,NA,NA,Pickles - Hobart,/dealer-services/pickles-hobart/AGC-SELLER-50945
118,NA,NA,NA,Performance Automobiles Group,/dealer-services/performance-automobiles-group/AGC-SELLER-14624
119,2016 Subaru Levorg 2.0 GT-S V1 Auto AWD MY17,"33,990*",used,Jackson Motor Company - Hobart,/dealer-services/jackson-motor-company-hobart/AGC-SELLER-18075
120,2013 Nissan Pathfinder Ti R52 Auto 4WD MY14,"27,990*",used,Jackson Motor Company - Hobart,/dealer-services/jackson-motor-company-hobart/AGC-SELLER-18075
121,2011 Volkswagen Amarok TDI400 Trendline 2H Manual 4MOT MY12 Dual Cab,"22,990*",used,Jackson Motor Company - Hobart,/dealer-services/jackson-motor-company-hobart/AGC-SELLER-18075
122,2018 Hyundai Kona Go Auto 2WD MY19,"21,990*",used,Jackson Motor Company - Hobart,/dealer-services/jackson-motor-company-hobart/AGC-SELLER-18075
123,2019 Volkswagen Tiguan 110TSI Comfortline 5N Auto 2WD MY19.5,"41,990*",used,Jackson Motor Company - Hobart,/dealer-services/jackson-motor-company-hobart/AGC-SELLER-18075
